client_rank,round,timestamp,cpu_time,cpu_freq_mhz,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load
1,11,2025-07-25 14:39,294066.2031,2400,1354.555392,10321953,412719912,845,0.01
2,11,2025-07-25 14:39,294074.5469,2400,1357.43488,10321953,412720124,845,0.01
3,11,2025-07-25 14:39,294066.7656,2400,1355.214848,10321953,412719912,845,0.01
4,11,2025-07-25 14:39,294068.0156,2400,1351.96672,10321953,412719912,845,0.01
1,12,2025-07-25 14:41,295077.0312,2400,1435.308032,10403213,412906257,845,0.01
2,12,2025-07-25 14:40,294934.25,2400,1434.750976,10370434,412814238,845,0.04
3,12,2025-07-25 14:41,295080.2031,2400,1434.529792,10403213,412906257,845,0.04
4,12,2025-07-25 14:40,294920.6562,2400,1429.823488,10369185,412808006,845,0.01
1,13,2025-07-25 14:43,295965.6875,2400,1413.337088,10436821,412941152,845,0.05
2,13,2025-07-25 14:43,295968.7344,2400,1413.894144,10436821,412941238,845,0.05
3,13,2025-07-25 14:43,295943.7656,2400,1412.263936,10436515,412941032,845,0.01
4,13,2025-07-25 14:43,295961.0625,2400,1410.433024,10436821,412941152,845,0.04
1,14,2025-07-25 14:45,296844.2656,2400,1464.147968,10456344,412956460,845,0.01
2,14,2025-07-25 14:45,296843.7656,2400,1463.697408,10456344,412956460,845,0.01
3,14,2025-07-25 14:45,296833.2344,2400,1459.122176,10456344,412956460,845,0.01
4,14,2025-07-25 14:45,296844.1406,2400,1461.170176,10456344,412956460,845,0.01
1,15,2025-07-25 14:47,297720.3594,2400,1541.545984,10489912,413058813,845,0.01
2,15,2025-07-25 14:47,297728.6406,2400,1542.139904,10489912,413058813,845,0.01
3,15,2025-07-25 14:47,297723.0156,2400,1540.739072,10489912,413058813,845,0.01
4,15,2025-07-25 14:47,297720.4062,2400,1535.164416,10489912,413058813,845,0.01
1,16,2025-07-25 14:49,298604.7656,2400,1590.644736,10552826,413122218,845,0.01
2,16,2025-07-25 14:50,298702.1719,2400,1618.849792,10564338,413130455,845,0.01
3,16,2025-07-25 14:49,298609.6406,2400,1597.087744,10552826,413122218,845,0.01
4,16,2025-07-25 14:49,298580.75,2400,1614.372864,10552771,413122152,845,0.01
1,17,2025-07-25 14:52,299623.2344,2400,1612.845056,10641856,413356435,845,0.01
2,17,2025-07-25 14:51,299546.0469,2400,1617.813504,10600837,413218517,845,0.04
3,17,2025-07-25 14:51,299538.9219,2400,1617.084416,10600624,413218358,845,0.01
4,17,2025-07-25 14:51,299546.1719,2400,1605.767168,10600837,413218517,845,0.04
1,18,2025-07-25 14:54,300475.9063,2400,1677.381632,10660780,413376399,845,0.01
2,18,2025-07-25 14:54,300478.25,2400,1684.979712,10660780,413376399,845,0.04
